Layer,Mode,Space,Silhouette_Score,Intra_Base,Intra_Epi,Intra_Ale,Inter_Base_Epi,Inter_Base_Ale,Inter_Epi_Ale
0,Absolute,Original,-0.01,0.75,0.74,0.69,0.74,0.71,0.7
0,Residual,Original,-0.01,0.1,0.12,0.11,0.1,0.05,0.02
0,Absolute,Null,-0.01,0.99,0.99,0.99,0.99,0.99,0.99
0,Residual,Null,-0.01,0.03,0.05,0.04,0.02,0.01,-0.01
0,Absolute,Logits,-0.01,0.73,0.73,0.68,0.73,0.7,0.69
0,Residual,Logits,-0.01,0.1,0.12,0.11,0.1,0.05,0.03
4,Absolute,Original,0.02,0.59,0.6,0.57,0.59,0.56,0.55
4,Residual,Original,0.02,-0.0,0.05,0.1,0.01,0.0,-0.01
4,Absolute,Null,-0.03,0.89,0.95,0.97,0.92,0.92,0.95
4,Residual,Null,-0.03,0.02,0.0,0.15,0.02,0.03,0.01
4,Absolute,Logits,0.02,0.58,0.59,0.56,0.58,0.55,0.54
4,Residual,Logits,0.02,-0.0,0.05,0.1,0.01,0.0,-0.01
8,Absolute,Original,0.03,0.62,0.61,0.62,0.6,0.59,0.58
8,Residual,Original,0.03,-0.01,0.1,0.13,0.0,-0.0,0.03
8,Absolute,Null,-0.05,1.0,1.0,1.0,1.0,1.0,1.0
8,Residual,Null,-0.05,0.0,0.03,0.01,-0.02,-0.01,0.02
8,Absolute,Logits,0.03,0.45,0.46,0.44,0.43,0.41,0.4
8,Residual,Logits,0.03,-0.01,0.1,0.13,0.0,-0.0,0.03
12,Absolute,Original,0.03,0.59,0.6,0.61,0.58,0.57,0.56
12,Residual,Original,0.03,-0.01,0.1,0.15,0.0,-0.0,0.04
12,Absolute,Null,-0.05,0.99,0.99,1.0,0.99,0.99,0.99
12,Residual,Null,-0.05,0.01,0.04,0.07,0.02,0.03,0.05
12,Absolute,Logits,0.03,0.47,0.47,0.45,0.44,0.41,0.4
12,Residual,Logits,0.03,-0.01,0.1,0.15,-0.0,-0.0,0.04
16,Absolute,Original,0.03,0.65,0.67,0.67,0.64,0.63,0.64
16,Residual,Original,0.03,-0.01,0.11,0.17,-0.0,-0.0,0.06
16,Absolute,Null,-0.01,0.99,1.0,1.0,1.0,0.99,1.0
16,Residual,Null,-0.01,-0.01,0.11,0.27,-0.01,-0.01,0.1
16,Absolute,Logits,0.03,0.48,0.48,0.49,0.45,0.43,0.44
16,Residual,Logits,0.03,-0.01,0.11,0.16,-0.0,-0.0,0.06
20,Absolute,Original,0.02,0.6,0.66,0.65,0.61,0.6,0.63
20,Residual,Original,0.02,-0.01,0.11,0.15,0.0,-0.0,0.07
20,Absolute,Null,0.01,0.99,0.99,1.0,0.99,0.99,0.99
20,Residual,Null,0.01,0.01,0.17,0.53,0.02,0.02,0.24
20,Absolute,Logits,0.02,0.42,0.47,0.46,0.41,0.4,0.43
20,Residual,Logits,0.02,-0.01,0.11,0.14,0.0,-0.0,0.06
24,Absolute,Original,0.02,0.63,0.7,0.67,0.65,0.63,0.67
24,Residual,Original,0.02,-0.0,0.11,0.13,0.0,0.0,0.06
24,Absolute,Null,0.01,0.97,0.97,0.98,0.97,0.97,0.97
24,Residual,Null,0.01,0.0,0.25,0.29,-0.02,-0.02,0.13
24,Absolute,Logits,0.01,0.43,0.49,0.45,0.44,0.41,0.44
24,Residual,Logits,0.01,-0.0,0.1,0.12,0.0,0.0,0.05
25,Absolute,Original,0.01,0.54,0.56,0.51,0.53,0.5,0.51
25,Residual,Original,0.01,-0.0,0.1,0.12,0.0,0.0,0.05
25,Absolute,Null,-0.04,0.9,0.86,0.88,0.87,0.89,0.87
25,Residual,Null,-0.04,-0.0,0.11,0.15,-0.03,-0.02,0.1
25,Absolute,Logits,0.01,0.44,0.48,0.43,0.43,0.41,0.42
25,Residual,Logits,0.01,-0.0,0.1,0.11,0.0,0.0,0.05
