Layer,Mode,Space,Silhouette_Score,Intra_Base,Intra_Epi,Intra_Ale,Inter_Base_Epi,Inter_Base_Ale,Inter_Epi_Ale
0,Absolute,Original,-0.01,0.95,0.94,0.93,0.95,0.94,0.94
0,Residual,Original,-0.01,0.12,0.13,0.15,0.12,0.08,0.08
0,Absolute,Null,0.01,1.0,1.0,1.0,1.0,1.0,1.0
0,Residual,Null,0.01,0.0,0.02,0.47,-0.0,0.02,-0.01
0,Absolute,Logits,-0.01,0.83,0.83,0.79,0.83,0.8,0.8
0,Residual,Logits,-0.01,0.13,0.14,0.13,0.13,0.09,0.08
4,Absolute,Original,0.01,0.82,0.82,0.8,0.82,0.8,0.8
4,Residual,Original,0.01,0.02,0.06,0.12,0.02,0.01,0.0
4,Absolute,Null,-0.01,0.99,0.99,0.99,0.99,0.99,0.99
4,Residual,Null,-0.01,-0.0,0.02,0.15,-0.0,0.0,-0.03
4,Absolute,Logits,0.01,0.61,0.6,0.57,0.6,0.57,0.56
4,Residual,Logits,0.01,0.02,0.06,0.12,0.02,0.01,0.0
8,Absolute,Original,0.01,0.74,0.73,0.72,0.73,0.72,0.71
8,Residual,Original,0.01,-0.01,0.03,0.09,0.0,-0.0,0.01
8,Absolute,Null,0.0,0.99,0.99,0.99,0.99,0.99,0.99
8,Residual,Null,0.0,0.01,0.01,0.1,0.01,0.0,0.0
8,Absolute,Logits,0.01,0.46,0.45,0.4,0.45,0.4,0.4
8,Residual,Logits,0.01,-0.01,0.04,0.09,0.0,-0.0,0.01
11,Absolute,Original,0.0,0.92,0.93,0.92,0.93,0.92,0.92
11,Residual,Original,0.0,-0.0,0.04,0.05,0.0,0.0,0.02
11,Absolute,Null,-0.03,0.99,0.99,0.99,0.99,0.99,0.99
11,Residual,Null,-0.03,0.01,0.03,0.01,0.02,0.01,0.01
11,Absolute,Logits,0.01,0.42,0.43,0.4,0.42,0.39,0.4
11,Residual,Logits,0.01,-0.01,0.04,0.06,0.0,-0.0,0.02
